M/Z,Intensity
387.19869,95395
387.23522,29574
387.27166,95243
387.3119,5041
387.3201,16039
388.09961,56814
388.10785,33189
388.11224,263762
388.12034,95424
388.12478,72974
388.13332,45392
388.18267,7238
388.19398,19452
388.2022,16453
388.23058,122815
388.24174,220176
388.25556,64463
388.26667,6950
388.27486,8501
388.29198,7425
388.29603,6046
388.30726,41184
389.08366,11764
389.10748,89140
389.11556,84160
389.11998,106471
389.1284,65891
389.13247,85361
389.21457,67934
389.23383,10019
389.24497,24925
389.25077,170095
390.06767,13434
390.09148,13421
390.10406,82001
390.11253,47946
390.11519,50356
390.12338,36200
390.12775,100792
390.13591,25514
390.14029,13831
390.14891,13325
390.18152,8142
390.1988,7752
390.20976,2268670
390.23479,25165
390.24603,129986
390.25424,22772
390.31176,11434
390.32286,36641
391.06033,69393
391.09923,89834
391.10764,50750
391.11183,49176
391.12305,48937
391.13119,25789
391.13562,26959
391.19372,292652
391.19779,45925
391.20679,43186
391.21302,317145
392.08319,38465
392.09437,18727
392.10256,20349
392.10701,91716
392.11536,15442
392.11968,86144
392.12821,16852
392.13087,9266
392.13938,9879
392.14353,19718
392.19288,6786
392.19706,47789
392.20124,5017
392.20401,6034
392.21644,14730
392.23341,4783
392.40028,4573
393.07853,20060
393.10221,51295
393.11035,18665
393.11482,83083
393.12333,68617
393.12746,58692
393.13873,13624
393.19164,93516
393.22459,91598
393.22868,173475
394.07792,57048
394.0864,5483
394.11008,21248
394.11824,19460
394.12267,106765
394.13094,14783
394.13531,15335
394.20633,8512
394.20841,7041
394.21272,8227
394.2197,22267
394.22794,6637
394.23208,32620
394.24494,3733
394.24922,7362
394.25623,3154
394.37955,2913
395.04068,212770
395.07313,38048
395.10274,31385
395.10682,28361
395.11797,65787
395.12604,25782
395.1305,33978
395.13902,52685
395.14304,10855
395.19694,11815
395.20395,46170
395.21505,7766
396.04408,38968
396.09355,190540
396.10208,45853
396.12582,16728
396.13837,47060
396.14686,5172
396.18783,8631
396.19913,21759
396.22435,10197
396.23555,35196
396.26055,3163
396.27168,4905
396.40631,4755
397.02469,34315
397.03886,12475
397.08868,168038
397.09688,69854
397.10129,37690
397.10989,17645
397.11851,47475
397.12255,40402
397.13377,42182
397.15491,29112
397.18301,14204
397.21945,48611
397.23071,12047
397.25606,11920
398.08401,46652
398.09206,54495
398.09649,64818
398.109,277650
398.11753,54633
398.15416,6852
398.16721,10136
398.17847,5789
398.20351,27209
398.21479,93348
398.23986,14288
398.25111,14682
399.03792,135025
399.05884,59903
399.09181,32461
399.10447,260792
399.11265,110052
399.11707,111988
399.12558,21520
399.13418,31652
399.13921,24985
399.16008,34163
399.19878,21705
399.2101,52497
399.23529,72911
399.24638,21046
399.27157,61715
399.30087,3525
400.04147,20879
400.09961,75799
400.1077,89498
400.11215,166469
400.11801,44579
400.12031,36622
400.12471,133631
400.13327,42739
400.19404,51731
400.21912,26970
400.23037,162755
400.2416,113917
400.25566,12622
400.26692,91898
400.30741,12340
400.3324,15019
401.05372,12551
401.0746,5111329
401.09633,36360
401.10753,93055
401.11564,55346
401.12007,128727
401.12835,66901
401.1326,75527
401.17804,21572
401.21455,96189
401.22575,42188
401.23388,19725
401.25088,105253
401.2872,198740
401.31239,11051
401.31648,12899
401.67156,5955
402.0213,51563
402.0781,1024798
402.09149,49495
402.11093,18830
402.1152,44049
402.12345,58330
402.12778,114507
402.13597,23508
402.14036,22619
402.14901,17246
402.19854,6017
402.2097,58257
402.21779,8097
402.24606,499434
402.25729,447265
402.28263,170943
402.29083,32360
402.32302,142835
403.07549,20172
403.07886,44684
403.08132,100708
403.09032,30165
403.09927,16210
403.10784,49045
403.11192,120420
403.12315,63654
403.1313,38167
403.13574,34627
403.14431,34089
403.14832,14578
403.1937,11361
403.23015,373307
403.24966,86071
403.25559,14527
403.26088,74441
403.26668,24070
403.28606,23862
403.32619,27615
404.07072,8477
404.10724,147177
